,Kategorie,Koordinaten,Name,Bildlizenz,Bild,Website,Adresse,Unesco-Seite,Latitude,Longitude,Karte
21,32,"[49.89167, 10.88889]",Altstadt von Bamberg,"CC-BY-SA 3.0, Schubbay, Commons Wiki",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/Bamberg_c_%20Schubbay_%20CC%20BY-SA%203.0.jpg?itok=_4l0BeGd,https://welterbe.bamberg.de/de/,"5, Habergasse, Lorenzhöfe, Inselstadt, Bamberg, Bayern, 96047, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/altstadt-von-bamberg,49.89167,10.88889,"Altstadt von Bamberg,5, Habergasse, Lorenzhöfe, Inselstadt, Bamberg, Bayern, 96047, Deutschland,https://welterbe.bamberg.de/de/"
22,32,"[48.38778, 9.76556]",Höhlen und Eiszeitkunst der Schwäbischen Alb,"CC-BY-ND, Landesamt für Denkmalpflege im Regierungspräsidium Stuttgart ",https://www.unesco.de/sites/default/files/styles/1280w/public/2018-01/Schw%C3%A4bische%20Alb_Bockstein-H%C3%B6hle_CC-BY-ND_Landesamt%20f%C3%BCr%20Denkmalpflege%20im%20Regierungspr%C3%A4sidium%20Stuttgart.jpg?itok=80MMU89K,https://www.iceageart.de/startseite/,"Weiler, Blaubeuren, Gemeindeverwaltungsverband Blaubeuren, Alb-Donau-Kreis, Baden-Württemberg, 89143, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/hoehlen-und-eiszeitkunst-der-schwaebischen-alb,48.38778,9.76556,"Höhlen und Eiszeitkunst der Schwäbischen Alb,Weiler, Blaubeuren, Gemeindeverwaltungsverband Blaubeuren, Alb-Donau-Kreis, Baden-Württemberg, 89143, Deutschland,https://www.iceageart.de/startseite/"
23,32,"[50.9775, 11.32861]",Klassisches Weimar,"CC-BY-SA 3.0, Most Curious, Commons Wiki ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/Beethovenhaus_%26_Bachhaus_des_Schloss_Belvedere_c_Most%20Curious_CC%20BY-SA%203.0.jpg?itok=JSBDwkPK,https://www.klassik-stiftung.de/start/,"Goethe-Nationalmuseum, 1, Frauenplan, Altstadt, Weimar, Thüringen, 99423, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/klassisches-weimar,50.9775,11.32861,"Klassisches Weimar,Goethe-Nationalmuseum, 1, Frauenplan, Altstadt, Weimar, Thüringen, 99423, Deutschland,https://www.klassik-stiftung.de/start/"
24,32,"[52.53944, 13.2775]",Siedlungen der Berliner Moderne,"CC-BY-NC, Gertrud K., Flickr ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/Gartenstadt%20Falkenberg_c_Gertrud%20K._cc%2Bnoncommercial.jpg?itok=ASpSehBY,http://www.berlin.de/landesdenkmalamt/welterbe/welterbestaetten/siedlungen-der-berliner-moderne/,"Großsiedlung Siemensstadt, Quellweg, Siemensstadt, Spandau, Berlin, 13629, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/siedlungen-der-berliner-moderne,52.53944,13.2775,"Siedlungen der Berliner Moderne,Großsiedlung Siemensstadt, Quellweg, Siemensstadt, Spandau, Berlin, 13629, Deutschland,http://www.berlin.de/landesdenkmalamt/welterbe/welterbestaetten/siedlungen-der-berliner-moderne/"
25,32,"[53.86778, 10.68444]",Hansestadt Lübeck,"CC-BY-ND 2.0, Christian Kothe, Flickr ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/27688977864_L%C3%BCbecker%20Altstadt_Christian%20Kothe_Attribution-NoDerivs%202.0%20Generic%20%28CC%20BY-ND%202.0%29.jpg?itok=DiD_JZVp,http://stadtentwicklung.luebeck.de/stadtplanung/UNESCO/,"St.-Marien-Kirche, 1, Marienkirchhof, Innenstadt, Lübeck, Schleswig-Holstein, 23552, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/hansestadt-luebeck,53.86778,10.68444,"Hansestadt Lübeck,St.-Marien-Kirche, 1, Marienkirchhof, Innenstadt, Lübeck, Schleswig-Holstein, 23552, Deutschland,http://stadtentwicklung.luebeck.de/stadtplanung/UNESCO/"
26,32,"[50.97472, 11.32936]","Das Bauhaus und seine Stätten in Weimar, Dessau und Bernau","CC-BY 2.0, Andre Dierker, Flickr ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/15256793302_Dessau_c_Andre%20Dierker_Attribution%202.0%20Generic%20%28CC%20BY%202.0%29.jpg?itok=PEmM40Er,https://www.bauhaus-dessau.de/de/index.html,"Fakultät Architektur und Urbanistik- Hauptgebäude, Geschwister-Scholl-Straße, Altstadt, Weimar, Thüringen, 99423, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/das-bauhaus-und-seine-staetten-weimar-dessau-und,50.97472,11.32936,"Das Bauhaus und seine Stätten in Weimar, Dessau und Bernau,Fakultät Architektur und Urbanistik- Hauptgebäude, Geschwister-Scholl-Straße, Altstadt, Weimar, Thüringen, 99423, Deutschland,https://www.bauhaus-dessau.de/de/index.html"
27,32,"[52.15278, 9.94389]",Dom und Michaeliskirche in Hildesheim,"CC-BY-NC-ND 2.0, barnyz, Flickr ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/15823927840_Hildesheim%20Germany_c_barnyz_Attribution-NonCommercial-NoDerivs%202.0%20Generic%20%28CC%20BY-NC-ND%202.0%29_.jpg?itok=JxjS7jJn,https://www.hildesheim.de/tourismus/hildesheim-sehenswert/unesco-welterbe.html,"St. Michaelis, 1, Michaelisplatz, Michaelisviertel, Altstadt, Stadtmitte/Neustadt, Hildesheim, Landkreis Hildesheim, Niedersachsen, 31134, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/dom-und-michaeliskirche-hildesheim/,52.15278,9.94389,"Dom und Michaeliskirche in Hildesheim,St. Michaelis, 1, Michaelisplatz, Michaelisviertel, Altstadt, Stadtmitte/Neustadt, Hildesheim, Landkreis Hildesheim, Niedersachsen, 31134, Deutschland,https://www.hildesheim.de/tourismus/hildesheim-sehenswert/unesco-welterbe.html"
28,32,"[49.75194, 6.62633]","Römische Baudenkmäler, Dom und Liebfrauenkirche in Trier",© GDKE - Rheinisches Landesmuseum Trier/Th. Zühmer ,https://www.unesco.de/sites/default/files/styles/960w/public/2018-02/Porta%20Nigra%2002%20%28GDKE%20-%20Rheinisches%20Landesmuseum%20Trier%2C%20Foto%20Th.%20Z%C3%BChmer%29.jpg?itok=KbNAq8K6,http://www.zentrum-der-antike.de/,"Römerbrücke, West, West-Pallien, Trier, Rheinland-Pfalz, 54294, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/roemische-baudenkmaeler-dom-und-liebfrauenkirche,49.75194,6.62633,"Römische Baudenkmäler, Dom und Liebfrauenkirche in Trier,Römerbrücke, West, West-Pallien, Trier, Rheinland-Pfalz, 54294, Deutschland,http://www.zentrum-der-antike.de/"
29,32,"[51.82, 10.34]","Bergwerk Rammelsberg, Altstadt von Goslar und Oberharzer Wasserwirtschaft","CC-BY-NC 2.0, micagoto, Flickr ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/34191443654_Goslar%20III_c_micagoto_Attribution-NonCommercial%202.0%20Generic%20%28CC%20BY-NC%202.0%29.jpg?itok=Z-SeVlAx,https://www.goslar.de/,"48, Goslarsche Straße, Zellerfeld, Clausthal-Zellerfeld, Landkreis Goslar, Niedersachsen, 38678, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/bergwerk-rammelsberg-altstadt-von-goslar-und,51.82,10.34,"Bergwerk Rammelsberg, Altstadt von Goslar und Oberharzer Wasserwirtschaft,48, Goslarsche Straße, Zellerfeld, Clausthal-Zellerfeld, Landkreis Goslar, Niedersachsen, 38678, Deutschland,https://www.goslar.de/"
30,32,"[51.78889, 11.14278]","Stiftskirche, Schloss und Altstadt von Quedlinburg","CC-BY-ND 2.0, Vanessa, Flickr ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/31549625264_%20Strassen%20von%20Quedlingburg_Vanessa_Attribution-NoDerivs%202.0%20Generic%20%28CC%20BY-ND%202.0%29.jpg?itok=PUqoyc2X,http://www.quedlinburg.de/de/unesco-welterbe.html,"8, Pölle, Quarmbeck, Quedlinburg, Landkreis Harz, Sachsen-Anhalt, 06484, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/stiftskirche-schloss-und-altstadt-von-quedlinburg,51.78889,11.14278,"Stiftskirche, Schloss und Altstadt von Quedlinburg,8, Pölle, Quarmbeck, Quedlinburg, Landkreis Harz, Sachsen-Anhalt, 06484, Deutschland,http://www.quedlinburg.de/de/unesco-welterbe.html"
